server,value
nodejs,694.3580
nodejs,704.6060
nodejs,698.7000
nodejs,694.3580
nodejs,716.6250
nodejs,710.5160
nodejs,701.6870
nodejs,716.5270
nodejs,710.5160
nodejs,713.6060
nodejs,718.0950
nodejs,712.0580
nodejs,713.6060
nodejs,713.6060
nodejs,712.0580
nodejs,707.5490
nodejs,704.6060
nodejs,712.0580
nodejs,703.0960
nodejs,709.0770
nodejs,707.5490
nodejs,709.0770
nodejs,707.5490
nodejs,713.5090
nodejs,694.3580
nodejs,377.2030
nodejs,506.1610
nodejs,504.6540
nodejs,507.7270
nodejs,641.3560
nodejs,506.1610
nodejs,640.1060
nodejs,709.0770
nodejs,712.0580
nodejs,709.0770
nodejs,709.0770
nodejs,704.6060
nodejs,704.6060
nodejs,716.6250
nodejs,708.9820
nodejs,710.5160
nodejs,712.0580
nodejs,704.6060
nodejs,709.0770
nodejs,707.5490
nodejs,712.0580
nodejs,718.0950
nodejs,706.0270
nodejs,703.0960
nodejs,710.6120
nodejs,707.5490
nodejs,712.0580
nodejs,707.5490
nodejs,718.1930
nodejs,713.5090
nodejs,688.7120
nodejs,712.0580
nodejs,716.6250
nodejs,715.0630
nodejs,718.0950
nodejs,585.5080
nodejs,415.4610
nodejs,542.9510
nodejs,540.3260
nodejs,637.6960
nodejs,560.1520
nodejs,513.1350
nodejs,536.9010
nodejs,542.1110
nodejs,550.9840
nodejs,550.9840
nodejs,539.4930
nodejs,539.4930
nodejs,522.6860
nodejs,545.6030
nodejs,690.1600
nodejs,688.7120
nodejs,707.5490
nodejs,716.6250
nodejs,719.6690
nodejs,700.1900
nodejs,716.6250
nodejs,718.0950
nodejs,713.5090
nodejs,724.3350
nodejs,718.1930
nodejs,704.6060
nodejs,685.9230
nodejs,681.7380
nodejs,674.8170
nodejs,687.2690
nodejs,694.3580
nodejs,709.0770
nodejs,709.0770
nodejs,712.0580
nodejs,718.0950
nodejs,718.1930
nodejs,712.0580
nodejs,716.6250
nodejs,712.0580
nodejs,709.0770
nodejs,715.1610
nodejs,706.0270
nodejs,715.0630
nodejs,712.0580
nodejs,713.6060
nodejs,707.6440
nodejs,710.5160
nodejs,700.1900
nodejs,710.5160
nodejs,674.9040
nodejs,707.5490
nodejs,710.5160
nodejs,715.0630
nodejs,707.5490
nodejs,716.6250
nodejs,706.0270
nodejs,688.7120
nodejs,719.6690
nodejs,712.0580
nodejs,713.5090
nodejs,707.5490
nodejs,709.0770
nodejs,710.5160
nodejs,710.6120
nodejs,707.5490
nodejs,698.7000
nodejs,712.0580
nodejs,706.0270
nodejs,706.0270
nodejs,708.9820
nodejs,707.5490
nodejs,713.5090
nodejs,713.5090
nodejs,712.0580
nodejs,695.8300
