server,value
nodejs,640876.0
nodejs,675440.0
nodejs,674682.0
nodejs,663512.0
nodejs,663512.0
nodejs,687019.0
nodejs,675440.0
nodejs,675440.0
nodejs,675440.0
nodejs,675440.0
nodejs,675440.0
nodejs,687019.0
nodejs,675440.0
nodejs,699816.0
nodejs,675440.0
nodejs,663512.0
nodejs,687019.0
nodejs,699002.0
nodejs,675440.0
nodejs,675440.0
nodejs,687019.0
nodejs,687019.0
nodejs,652705.0
nodejs,687019.0
nodejs,663512.0
nodejs,675440.0
nodejs,699816.0
nodejs,610916.0
nodejs,687019.0
nodejs,687019.0
nodejs,663512.0
nodejs,687019.0
nodejs,674682.0
nodejs,675440.0
nodejs,557645.0
nodejs,641560.0
nodejs,687019.0
nodejs,651997.0
nodejs,687019.0
nodejs,687019.0
nodejs,687019.0
nodejs,675440.0
nodejs,674682.0
nodejs,687019.0
nodejs,699816.0
nodejs,651997.0
nodejs,675440.0
nodejs,674682.0
nodejs,687019.0
nodejs,675440.0
nodejs,687019.0
nodejs,687019.0
nodejs,699816.0
nodejs,651997.0
nodejs,712253.0
nodejs,699002.0
nodejs,712253.0
nodejs,687019.0
nodejs,699002.0
nodejs,675440.0
nodejs,687019.0
nodejs,662780.0
nodejs,651997.0
nodejs,610916.0
nodejs,662780.0
nodejs,620373.0
nodejs,630127.0
nodejs,601142.0
nodejs,610296.0
nodejs,630789.0
nodejs,651997.0
nodejs,662780.0
nodejs,651997.0
nodejs,620373.0
nodejs,652705.0
nodejs,674682.0
nodejs,651997.0
nodejs,687019.0
nodejs,156384.0
nodejs,699002.0
nodejs,699816.0
nodejs,687019.0
nodejs,662780.0
nodejs,687019.0
nodejs,699816.0
nodejs,674682.0
nodejs,699002.0
nodejs,699002.0
nodejs,674682.0
nodejs,712253.0
nodejs,687019.0
nodejs,452326.0
nodejs,687019.0
nodejs,687019.0
nodejs,699002.0
nodejs,699002.0
nodejs,699816.0
nodejs,687019.0
nodejs,699002.0
nodejs,687019.0
nodejs,687019.0
nodejs,687019.0
nodejs,713098.0
nodejs,699816.0
nodejs,687019.0
nodejs,687019.0
nodejs,663512.0
nodejs,699816.0
nodejs,687019.0
nodejs,630789.0
nodejs,582501.0
nodejs,565514.0
nodejs,557645.0
nodejs,591675.0
nodejs,480913.0
nodejs,520019.0
nodejs,640876.0
nodejs,699816.0
nodejs,699002.0
nodejs,674682.0
nodejs,699002.0
nodejs,662780.0
nodejs,699002.0
nodejs,541569.0
nodejs,687019.0
nodejs,699816.0
nodejs,699816.0
nodejs,699002.0
nodejs,699816.0
nodejs,687019.0
nodejs,674682.0
nodejs,687019.0
nodejs,687019.0
nodejs,674682.0
nodejs,674682.0
nodejs,557645.0
nodejs,674682.0
nodejs,687019.0
nodejs,699816.0
nodejs,699002.0
nodejs,699002.0
nodejs,687019.0
nodejs,674682.0
nodejs,675440.0
nodejs,699002.0
nodejs,674682.0
nodejs,630789.0
nodejs,630789.0
nodejs,674682.0
nodejs,699002.0
nodejs,687019.0
nodejs,674682.0
nodejs,687019.0
nodejs,675440.0
nodejs,699002.0
nodejs,712253.0
nodejs,687019.0
nodejs,699002.0
nodejs,699002.0
nodejs,610916.0
nodejs,601142.0
nodejs,699816.0
nodejs,699816.0
nodejs,641560.0
nodejs,687019.0
nodejs,699816.0
nodejs,699002.0
nodejs,699002.0
nodejs,630789.0
nodejs,687019.0
nodejs,687019.0
nodejs,699816.0
nodejs,574156.0
nodejs,601142.0
nodejs,687019.0
nodejs,663512.0
nodejs,699816.0
nodejs,687019.0
nodejs,687019.0
nodejs,663512.0
nodejs,620373.0
nodejs,487149.0
nodejs,526855.0
nodejs,486754.0
nodejs,526855.0
nodejs,662780.0
nodejs,541569.0
nodejs,549489.0
nodejs,526855.0
nodejs,469275.0
nodejs,520019.0
nodejs,541569.0
nodejs,566047.0
nodejs,565514.0
nodejs,591675.0
nodejs,526855.0
nodejs,542057.0
nodejs,527317.0
nodejs,620373.0
nodejs,621014.0
nodejs,610296.0
nodejs,620373.0
nodejs,601142.0
nodejs,630789.0
nodejs,452667.0
nodejs,549489.0
nodejs,432165.0
nodejs,343509.0
nodejs,366550.0
nodejs,418331.0
nodejs,437194.0
nodejs,380951.0
nodejs,487149.0
nodejs,527317.0
nodejs,591675.0
nodejs,610296.0
nodejs,601142.0
nodejs,601142.0
nodejs,620373.0
nodejs,566047.0
nodejs,592258.0
nodejs,512919.0
nodejs,409218.0
nodejs,343509.0
nodejs,447611.0
nodejs,442341.0
nodejs,388585.0
nodejs,363008.0
nodejs,463486.0
nodejs,405082.0
nodejs,463486.0
nodejs,352990.0
nodejs,334525.0
nodejs,343509.0
nodejs,305303.0
nodejs,265287.0
nodejs,359534.0
nodejs,620373.0
nodejs,663512.0
nodejs,674682.0
nodejs,526855.0
nodejs,640876.0
nodejs,620373.0
nodejs,542057.0
nodejs,640876.0
nodejs,640876.0
nodejs,630127.0
nodejs,630789.0
nodejs,630789.0
nodejs,620373.0
nodejs,630789.0
nodejs,663512.0
nodejs,675440.0
nodejs,662780.0
nodejs,640876.0
nodejs,557645.0
nodejs,640876.0
nodejs,630789.0
nodejs,651997.0
nodejs,640876.0
nodejs,675440.0
nodejs,699816.0
nodejs,610916.0
nodejs,630789.0
nodejs,641560.0
nodejs,641560.0
nodejs,641560.0
nodejs,512919.0
nodejs,621014.0
nodejs,630789.0
nodejs,630789.0
nodejs,663512.0
nodejs,675440.0
nodejs,640876.0
nodejs,699816.0
nodejs,699002.0
nodejs,651997.0
nodejs,675440.0
nodejs,565514.0
nodejs,663512.0
nodejs,687019.0
nodejs,687019.0
nodejs,663512.0
nodejs,712253.0
nodejs,641560.0
nodejs,687019.0
nodejs,699816.0
nodejs,687019.0
nodejs,712253.0
nodejs,591675.0
nodejs,620373.0
nodejs,699816.0
nodejs,640876.0
nodejs,687019.0
nodejs,675440.0
nodejs,601142.0
nodejs,534348.0
nodejs,542057.0
nodejs,549489.0
nodejs,549489.0
nodejs,534348.0
nodejs,513357.0
nodejs,427554.0
nodejs,422744.0
nodejs,687019.0
nodejs,687019.0
nodejs,699816.0
nodejs,687019.0
nodejs,675440.0
nodejs,651997.0
nodejs,592258.0
nodejs,699816.0
nodejs,699816.0
nodejs,687019.0
nodejs,675440.0
nodejs,713098.0
nodejs,687019.0
nodejs,675440.0
nodejs,663512.0
nodejs,699816.0
nodejs,699002.0
nodejs,630789.0
nodejs,630789.0
nodejs,674682.0
nodejs,699816.0
nodejs,687019.0
nodejs,687019.0
nodejs,687019.0
nodejs,699816.0
nodejs,674682.0
nodejs,674682.0
nodejs,699816.0
nodejs,699816.0
nodejs,566047.0
nodejs,641560.0
nodejs,699816.0
nodejs,699816.0
nodejs,687019.0
nodejs,687019.0
nodejs,712253.0
nodejs,674682.0
nodejs,651997.0
nodejs,675440.0
nodejs,699816.0
nodejs,712253.0
nodejs,557645.0
nodejs,651997.0
nodejs,699816.0
nodejs,663512.0
nodejs,712253.0
nodejs,687019.0
nodejs,687019.0
nodejs,699816.0
nodejs,687019.0
nodejs,674682.0
nodejs,699816.0
nodejs,699816.0
nodejs,687019.0
nodejs,583066.0
nodejs,630789.0
nodejs,687019.0
nodejs,651997.0
nodejs,541569.0
nodejs,343509.0
nodejs,366326.0
nodejs,384607.0
nodejs,458187.0
nodejs,512919.0
nodejs,527317.0
nodejs,499287.0
nodejs,601142.0
nodejs,687019.0
nodejs,699816.0
nodejs,674682.0
nodejs,687019.0
nodejs,699816.0
nodejs,674682.0
nodejs,663512.0
nodejs,687019.0
nodejs,687019.0
nodejs,574156.0
nodejs,640876.0
nodejs,675440.0
nodejs,674682.0
nodejs,699002.0
nodejs,640876.0
nodejs,699002.0
nodejs,699002.0
nodejs,641560.0
nodejs,713098.0
nodejs,582501.0
nodejs,630789.0
nodejs,699816.0
nodejs,663512.0
nodejs,687019.0
nodejs,687019.0
nodejs,687019.0
nodejs,699816.0
nodejs,651997.0
nodejs,687019.0
nodejs,699002.0
nodejs,687019.0
nodejs,549489.0
nodejs,675440.0
nodejs,687019.0
nodejs,687019.0
nodejs,641560.0
nodejs,534348.0
nodejs,583066.0
nodejs,549489.0
nodejs,527317.0
nodejs,557645.0
nodejs,601142.0
nodejs,610916.0
nodejs,687019.0
nodejs,630789.0
nodejs,674682.0
nodejs,512919.0
nodejs,663512.0
nodejs,663512.0
nodejs,687019.0
nodejs,713098.0
nodejs,652705.0
nodejs,712253.0
nodejs,725141.0
nodejs,699002.0
nodejs,674682.0
